Type,ID,Text
poorvucenter.yale.edu_AIguidance,1,ai guidelines poorvu center for teaching and learning skip to main content poorvu center for teaching and learning menu yale university get help with... spaces about us events news am a... undergraduate student graduate student yale faculty new instructor at yale staff member lifelong learner postdoctoral scholar search ask poorvu poorvu center for teaching and learning learning learning learning explore learning academic strategies disability neurodiversity
poorvucenter.yale.edu_AIguidance,2,"poorvu poorvu center for teaching and learning learning learning learning explore learning academic strategies disability neurodiversity support first-generation, low-income students help with humanities social sciences help with language study help with stem stem tutoring learning with canvas yale online courses history of online learning online learning platforms learning resource library writing writing writing explore writing graduate writing lab writing consultations workshops and panels peer-review groups"
poorvucenter.yale.edu_AIguidance,3,library writing writing writing explore writing graduate writing lab writing consultations workshops and panels peer-review groups retreats and all writes public speaking programs the graduate writing lab newsletter yale college writing center residential college writing tutors writing partner drop-in hours weekly and fellowship writing partners about the writing partners poorvu center writing contest writing resources for undergraduates writing resources for graduate students teaching teaching teaching
poorvucenter.yale.edu_AIguidance,4,poorvu center writing contest writing resources for undergraduates writing resources for graduate students teaching teaching teaching explore teaching guiding framework for teaching teaching fellowships and funding mcdougal graduate teaching fellows program faculty fellows teaching programs and events certificate of college teaching preparation faculty teaching academy teaching consultations and observations canvas yale instructional tools teaching with yale online history of online learning online learning platforms online
poorvucenter.yale.edu_AIguidance,5,canvas yale instructional tools teaching with yale online history of online learning online learning platforms online program process online program policies teaching resource library ai guidance for teachers assessment assessment assessment explore assessment educational program assessment consultations support educational research workshops on program assessment approaches methods resources on educational program assessment classroom assessment how we assess the poorvu center’s impact recording recording recording explore recording
poorvucenter.yale.edu_AIguidance,6,program assessment classroom assessment how we assess the poorvu center’s impact recording recording recording explore recording production types production process online education podcasts lecture capture yale university get help with... spaces about us events news am a... undergraduate student graduate student yale faculty new instructor at yale staff member lifelong learner postdoctoral scholar search ask poorvu ai guidelines “rather than wait to see how ai
poorvucenter.yale.edu_AIguidance,7,"lifelong learner postdoctoral scholar search ask poorvu ai guidelines “rather than wait to see how ai will develop, we encourage our colleagues across yale to proactively lead the development of ai by utilizing, critiquing, and examining the technology.” report of the yale task force on artificial intelligence ai guidance for students while the fundamentals of teaching and learning have not changed, we understand that students"
poorvucenter.yale.edu_AIguidance,8,"for students while the fundamentals of teaching and learning have not changed, we understand that students must be prepared to lead in an ai-infused world. generative ai may be used to enhance student learning in variety of ways, ranging from summarization to problem-solving. the poorvu center works with students to prioritize their learning while experimenting with available ai tools and understanding how best to use"
poorvucenter.yale.edu_AIguidance,9,"to prioritize their learning while experimenting with available ai tools and understanding how best to use those tools in compliance with individual course policies and guidelines. ai guidance for students ai guidance for instructors using collaborative approach, the poorvu center engages with faculty and students in discussions around ai with focus on learning from each other as we chart path forward. we work with faculty"
poorvucenter.yale.edu_AIguidance,10,with focus on learning from each other as we chart path forward. we work with faculty to help evolve curricula to incorporate discussions around ai into course content and provide resources and guidance to assist in making informed decisions about whether or not to infuse ai in their teaching. ai guidance for instructors ai at yale yale is positioned to lead in the exploration of
poorvucenter.yale.edu_AIguidance,11,"ai guidance for instructors ai at yale yale is positioned to lead in the exploration of ai’s ethical and societal impacts, and the poorvu center embraces the opportunity to lead discussions around the use of ai in teaching and learning. the university is committed to investing in ai technology and resources to assist students, faculty, and staff engage with the technology using critical lens to"
poorvucenter.yale.edu_AIguidance,12,"and resources to assist students, faculty, and staff engage with the technology using critical lens to explore its benefits and limitations. only then can we make educated and informed decisions about whether or not to incorporate its use in the classroom and beyond. ai at yale yale has the opportunity to serve as model by adapting its curricula to prepare students to lead in advancing"
poorvucenter.yale.edu_AIguidance,13,opportunity to serve as model by adapting its curricula to prepare students to lead in advancing and considering the implications of ai. report of the yale task force on artificial intelligence additional resources learn more about the work being done in the poorvu center and across the university around ai. yale task force on artificial intelligence ai literacy framework clarity ai platform poorvu center 301
poorvucenter.yale.edu_AIguidance,14,"ai. yale task force on artificial intelligence ai literacy framework clarity ai platform poorvu center 301 york st., new haven, ct 06511 poorvu north kline tower, 219 prospect st., new haven teaching studios 135 college st., new haven ai guidelines about us reserve room discover upcoming events find staff member facebook instagram (formally twitter) youtube accessibility at yale privacy policy copyright 2026 yale university. all"
poorvucenter.yale.edu_AIguidance,15,member facebook instagram (formally twitter) youtube accessibility at yale privacy policy copyright 2026 yale university. all rights reserved.
