Type,ID,Text
oercs.berkeley.edu_appropriate-use-generative-ai-tools,1,"appropriate use of generative ai tools office of ethics, risk, and compliance services skip to main content office of the chancellor toggle navigation office of ethics, risk, and compliance services search terms submit search home about policies campus policy library policies under review systemwide policies office of the president guidance campuswide policy governance campus community standards ethics privacy about privacy preservation, access requests, and transparency"
oercs.berkeley.edu_appropriate-use-generative-ai-tools,2,"guidance campuswide policy governance campus community standards ethics privacy about privacy preservation, access requests, and transparency selected privacy policies and regulations privacy resources delegations conflict of interest financial conflict of interest and disqualification rules under the ca political reform act gifts and gratuities research conflict of interest outside professional activities and conflict of commitment doing business with uc berkeley ai ethics records management home appropriate"
oercs.berkeley.edu_appropriate-use-generative-ai-tools,3,"activities and conflict of commitment doing business with uc berkeley ai ethics records management home appropriate use of generative ai tools appropriate use of generative ai tools privacy about privacy preservation, access requests, and transparency selected privacy policies and regulations privacy resources ai risk assessment mitigation guidance from the compliance and enterprise risk committees subcommittee on ai risk (cerc-air) about generative ai tools with the"
oercs.berkeley.edu_appropriate-use-generative-ai-tools,4,"compliance and enterprise risk committees subcommittee on ai risk (cerc-air) about generative ai tools with the emergence of various generative ai tools (e.g., chatgpt, google gemini, dall-e, microsoft copilot, zoom ai companion, adobe acrobat ai assistant, and others), members of the campus community are eager to explore their use in the university context. this advisory guides how to use these tools to support innovation without"
oercs.berkeley.edu_appropriate-use-generative-ai-tools,5,"in the university context. this advisory guides how to use these tools to support innovation without putting institutional, personal, or proprietary information at risk. in all cases, use should be consistent with uc berkeley’s principles of community and the uc principles of responsible ai summary full report allowable use by data classification publicly-available information protection level p1 can be used in generative ai tools. uc"
oercs.berkeley.edu_appropriate-use-generative-ai-tools,6,"by data classification publicly-available information protection level p1 can be used in generative ai tools. uc has license agreements for certain ai tools, which provide protection for use with more sensitive information. it is important to be sure you are using licensed tools, rather than individual consumer accounts, to benefit from uc’s contractual protections. please see use of ai tools procured by units separately from"
oercs.berkeley.edu_appropriate-use-generative-ai-tools,7,benefit from uc’s contractual protections. please see use of ai tools procured by units separately from the campus or systemwide agreements mentioned above must also adhere to the approved protection level limitations advised by the unit to ensure compliance with the agreement and appropriate protections relative to the safety features of the tool. units offering such tools should clearly advise staff and users as to
oercs.berkeley.edu_appropriate-use-generative-ai-tools,8,features of the tool. units offering such tools should clearly advise staff and users as to the appropriate use and protection level limitations of the ai (and all) tools that they offer. units are encouraged to use and refer people to the campus data classification standard and guidelines for assistance with determining the protection level of data being contemplated for use in unit-provided ai tools.
oercs.berkeley.edu_appropriate-use-generative-ai-tools,9,"assistance with determining the protection level of data being contemplated for use in unit-provided ai tools. prohibited use completion of academic work in manner not allowed by the instructor. unless specifically stated in the ""allowable use"" section above no personal, confidential, proprietary, or otherwise sensitive information may be entered into or generated as output from models or prompts. such information includes: student records subject to"
oercs.berkeley.edu_appropriate-use-generative-ai-tools,10,"into or generated as output from models or prompts. such information includes: student records subject to ferpa non-public instructional materials proprietary or unpublished research any other information classified as protection level p2, p3, or p4 (unless specifically allowed under ucs contracts; see list in ""allowable use by data classification"" section above. some generative ai tools, such as openai, explicitly forbid their use for certain categories"
