Type,ID,Text
communitystandards.stanford.edu_generative-ai-policy-guidance,1,generative ai policy guidance office of community standards skip to main content skip to secondary navigation stanford university (link is external) stanford office of community standards search this site submit search menu who we are office of community standards (ocs) staff get involved policies guidance honor code previous honor code stanford students discuss the honor code common misconceptions fundamental standard fundamental standard (up to may
communitystandards.stanford.edu_generative-ai-policy-guidance,2,"code stanford students discuss the honor code common misconceptions fundamental standard fundamental standard (up to may 1, 2023) other stanford policies stanford student conduct charter of 2023 (for cases filed may 2, 2023 and after) student accountability process (2023 charter) what happens in the conduct process when responding students are notified investigation of contested concern writing statement possible outcomes after an investigation hearing preparation bias"
communitystandards.stanford.edu_generative-ai-policy-guidance,3,"are notified investigation of contested concern writing statement possible outcomes after an investigation hearing preparation bias checks hearings sanction deliberations and disciplinary records bylaws to charter student conduct penalty code bylaw bca guidance: definitions and clarifications interpretations of the honor code intent and the ""reasonable person"" standard statute of limitations jurisdiction driving on campus under the influence what is plagiarism? sample plagiarism cases plagiarism questions"
communitystandards.stanford.edu_generative-ai-policy-guidance,4,limitations jurisdiction driving on campus under the influence what is plagiarism? sample plagiarism cases plagiarism questions generative ai policy bcas interim honor code recommendations bca guidance: the ocs directors initial decisions bca guidance: honor code level-setting bca guidance: reducing the level of concern bca guidance: guidelines for conduct of hearing panels academic accommodations the honor code the student judicial charter of 1997 (for cases in
communitystandards.stanford.edu_generative-ai-policy-guidance,5,"hearing panels academic accommodations the honor code the student judicial charter of 1997 (for cases in progress as of may 1, 2023) bca guide to the penalty code (1997 charter) sanctions and their practical effects (1997 charter) precedent (1997 charter) sanctioning factors: aggravating and mitigating circumstances (1997 charter) impact of sanctions on an individual student (1997 charter) impact of outside proceedings (1997 charter) writing sanction"
communitystandards.stanford.edu_generative-ai-policy-guidance,6,of sanctions on an individual student (1997 charter) impact of outside proceedings (1997 charter) writing sanction statement (1997 charter) stanford group accountability process (sgap) sgap policies and procedures sgap current policies and procedures sgap contact information report incidents of hazing ocb working group sgap support resources stanford stop hazing resources responding students how to file an appeal checklist for suspended students delay in degree conferral
communitystandards.stanford.edu_generative-ai-policy-guidance,7,resources responding students how to file an appeal checklist for suspended students delay in degree conferral to-do checklist for students community service information faculty tas exams the honor code example honor code statements tips for faculty teaching assistants remote teaching and the honor code: tips for faculty and teaching assistants serving as witness judicial counselor guidelines about the board on conduct affairs freedom of speech
communitystandards.stanford.edu_generative-ai-policy-guidance,8,"assistants serving as witness judicial counselor guidelines about the board on conduct affairs freedom of speech the fundamental standard additional resources remote learning and the honor code: tips for students bca guidance for the remote teaching and learning environment file concern generative ai policy guidance main content start guidance adopted on february 16, 2023 honor code implications of generative ai tools the board on conduct"
communitystandards.stanford.edu_generative-ai-policy-guidance,9,"adopted on february 16, 2023 honor code implications of generative ai tools the board on conduct affairs (bca) has been asked to address the honor code implications of generative ai tools such as chatgpt, bard, dall-e, and stable diffusion. these are novel tools, and both students and instructors have been experimenting with their use in academic settings. while these tools have applications that foster student"
communitystandards.stanford.edu_generative-ai-policy-guidance,10,"been experimenting with their use in academic settings. while these tools have applications that foster student learning and understanding, these tools can also be used in ways that bypass key learning objectives. to give sufficient space for instructors to explore uses of generative ai tools in their courses, and to set clear guidelines to students about what uses are and are not consistent with the"
communitystandards.stanford.edu_generative-ai-policy-guidance,11,"to set clear guidelines to students about what uses are and are not consistent with the stanford honor code, the bca has set forth the following policy guidance regarding generative ai in the context of coursework: absent clear statement from course instructor, use of or consultation with generative ai shall be treated analogously to assistance from another person. in particular, using generative ai tools to"
communitystandards.stanford.edu_generative-ai-policy-guidance,12,"shall be treated analogously to assistance from another person. in particular, using generative ai tools to substantially complete an assignment or exam (e.g. by entering exam or assignment questions) is not permitted. students should acknowledge the use of generative ai (other than incidental use) and default to disclosing such assistance when in doubt. individual course instructors are free to set their own policies regulating the"
communitystandards.stanford.edu_generative-ai-policy-guidance,13,"assistance when in doubt. individual course instructors are free to set their own policies regulating the use of generative ai tools in their courses, including allowing or disallowing some or all uses of such tools. course instructors should set such policies in their course syllabi and clearly communicate such policies to students. students who are unsure of policies regarding generative ai tools are encouraged to"
communitystandards.stanford.edu_generative-ai-policy-guidance,14,"policies to students. students who are unsure of policies regarding generative ai tools are encouraged to ask their instructors for clarification. the bca will continue to monitor developments in these tools and their use in academic settings and may update this guidance. members of the community are encouraged to contact the bca to provide input, suggestions, and comments on this policy. note: as part of"
communitystandards.stanford.edu_generative-ai-policy-guidance,15,"contact the bca to provide input, suggestions, and comments on this policy. note: as part of the bca’s guidance on clear communication of course’s generative ai policy, ocs recommends course instructors provide clear advance notice that they may use detection software to review work submitted for use of generative ai. other helpful information for faculty and course assistants can be found here if you are"
communitystandards.stanford.edu_generative-ai-policy-guidance,16,"ai. other helpful information for faculty and course assistants can be found here if you are in doubt about whether generative ai source (or any source) is permitted aid in the context of particular assignment, talk with the instructor. back to top stanford office of community standards web login address office of community standards tresidder memorial union 2nd floor, suite 459 lagunita drive stanford ca"
communitystandards.stanford.edu_generative-ai-policy-guidance,17,"address office of community standards tresidder memorial union 2nd floor, suite 459 lagunita drive stanford ca 94305-3010 united states email: ocs telephone: 650.725.2485 file concern important links titles vi and ix office red folder the fundamental standard the honor code digital accessibility student affairs student affairs photography videography policy stanford university indigenous land acknowledgment report website problem dean of students units dean of students graduate"
communitystandards.stanford.edu_generative-ai-policy-guidance,18,stanford university indigenous land acknowledgment report website problem dean of students units dean of students graduate life office office of accessible education office of community standards residential education stanford university (link is external) stanford home (link is external) maps directions (link is external) search stanford (link is external) emergency info (link is external) terms of use (link is external) privacy (link is external) copyright (link
communitystandards.stanford.edu_generative-ai-policy-guidance,19,"info (link is external) terms of use (link is external) privacy (link is external) copyright (link is external) trademarks (link is external) non-discrimination (link is external) accessibility (link is external) stanford university. stanford, california 94305."
