Type,ID,Text
honorcode.nd.edu_ai-recommendations-for-instructors,1,"ai recommendations for instructors undergraduate academic code of honor university of notre dame skip to content skip to navigation skip to search university of notre dame undergraduate academic code of honor home search menu the honor code ai recommendations for instructors ai recommendations for instructors for more, see nd learnings website ai for teaching and learning as well as the ai section of their resource"
honorcode.nd.edu_ai-recommendations-for-instructors,2,"learnings website ai for teaching and learning as well as the ai section of their resource library remind students that chatgpt and related tools do not meet the standards normally expected of academic or professional work the lack of citations, the inability to reproduce responses to the same prompt, the difficulty of distinguishing fact from disinformation, the lack of accountability for the ethical and equitable"
honorcode.nd.edu_ai-recommendations-for-instructors,3,"the difficulty of distinguishing fact from disinformation, the lack of accountability for the ethical and equitable sourcing of information, and outright “hallucinations” are among the known issues. learning to think and write critically and to use genuine sources of truth and knowledge form the hard but essential core of liberal arts education, and are the most important skills required for success in rapidly changing world."
honorcode.nd.edu_ai-recommendations-for-instructors,4,"liberal arts education, and are the most important skills required for success in rapidly changing world. be explicit with students about your expectations regarding the use of chatgpt and related ai tools for assignments, exams, and in the classroom, and be clear that engaging in unauthorized use of generative ai will be considered violation of the honor code. this includes ai editing tools (such as"
honorcode.nd.edu_ai-recommendations-for-instructors,5,"ai will be considered violation of the honor code. this includes ai editing tools (such as grammarly), whose suggestions for revising content are ai-generated and therefore violate policy that prohibits ai use. consider adding specific statement in your syllabus and on canvas regarding the use of ai tools the following sample statements may be helpful in crafting statements tailored to the learning goals of specific"
honorcode.nd.edu_ai-recommendations-for-instructors,6,"following sample statements may be helpful in crafting statements tailored to the learning goals of specific courses: before beginning your studies at notre dame, you signed the honor code pledge, affirming that you would not tolerate or participate in academic dishonesty, and this includes the appropriate use of generative ai tools. for the purposes of this class, you may not engage in unauthorized collaboration to"
honorcode.nd.edu_ai-recommendations-for-instructors,7,"ai tools. for the purposes of this class, you may not engage in unauthorized collaboration to complete any work for the course, and you may not use any generative ai composition or editing tools, unless it is specifically permitted for the assignment. ai composition or editing software (like chatgpt or grammarly) may not be used for assignments in this course unless specifically stated in the"
honorcode.nd.edu_ai-recommendations-for-instructors,8,"or grammarly) may not be used for assignments in this course unless specifically stated in the assignment. using these tools without my permission puts your academic integrity at risk. when this use has been permitted, the content generated or modified by ai must be properly attributed. the use of ai tools is generally acceptable in this course, but, like any other source, must always be"
honorcode.nd.edu_ai-recommendations-for-instructors,9,"ai tools is generally acceptable in this course, but, like any other source, must always be attributed in manner that can be reproduced by the reader. an example of “reproducible” attribution includes the date accessed, the web address or url accessed, and description of the prompt. when using generative ai tools as source of information, you are responsible for assessing the quality, completeness, and accuracy"
honorcode.nd.edu_ai-recommendations-for-instructors,10,"ai tools as source of information, you are responsible for assessing the quality, completeness, and accuracy of the cited information. the use of ai tools (like chatgpt) is generally acceptable in this course, but, like any other source, must always be attributed in manner that can be reproduced by the reader. moreover, such writing aids may be used in different ways at different stages of"
honorcode.nd.edu_ai-recommendations-for-instructors,11,"the reader. moreover, such writing aids may be used in different ways at different stages of the creative process. therefore if you use any of these systems to support your work where assignments specifically allow it, you will be required to describe the uses and process. remember, when using generative ai tools as source of information, you are responsible for assessing the quality, completeness, and"
honorcode.nd.edu_ai-recommendations-for-instructors,12,"generative ai tools as source of information, you are responsible for assessing the quality, completeness, and accuracy of the cited information. become familiar with chatgpt and related tools engage with colleagues, students, and others in dialogue regarding the use and misuse of generative ai in your academic disciplines and the professions in which your students engage. the technology is changing rapidly with large commercial investments."
honorcode.nd.edu_ai-recommendations-for-instructors,13,"the professions in which your students engage. the technology is changing rapidly with large commercial investments. they will likely become pervasive, ubiquitous, and embedded within the common applications used by students, scholars, and professionals of many types. what this means for the high standards we hold for teaching, scholarship, and academic integrity is vital conversation to which we invite your thoughts and advice. use chatgpt"
honorcode.nd.edu_ai-recommendations-for-instructors,14,"and academic integrity is vital conversation to which we invite your thoughts and advice. use chatgpt yourself and put your assignments into the system to see how it responds. become familiar with the tools and how your disciplinary community is understanding them. impacts of this technology on the disciplines vary as to how fast and seriously they will impact specific professions, academic disciplines, and pedagogical"
honorcode.nd.edu_ai-recommendations-for-instructors,15,"vary as to how fast and seriously they will impact specific professions, academic disciplines, and pedagogical approaches. also, remember that chatgpt does not know whether it wrote particular piece of text; if you ask it if it wrote something, it will often say yes even if the text was not generated by ai. the honor code honor code violation report educational outcome report reporting policy"
honorcode.nd.edu_ai-recommendations-for-instructors,16,not generated by ai. the honor code honor code violation report educational outcome report reporting policy university committee on the honor code college school honor code committees statement on generative ai and academic integrity (may 2023) ai recommendations for instructors generative ai policy for students policy update: ai editing tools (fall 2024) syllabus statements contact undergraduate academic code of honor 217n main building notre dame
honorcode.nd.edu_ai-recommendations-for-instructors,17,tools (fall 2024) syllabus statements contact undergraduate academic code of honor 217n main building notre dame in 46556 usa phone 574-631-0626 honor@nd.edu 2026 university of notre dame search mobile app news events visit accessibility facebook x/twitter instagram youtube linkedin
