Type,ID,Text
libguides.usc.edu_generative-AI_home,1,"home using generative ai in research research guides at university of southern california skip to main content usc libraries university of southern california research guides ask us faqs usc libraries research guides using generative ai in research home search this guide search using generative ai in research this research guide provides information on the use of generative ai in academic papers and research, and provides"
libguides.usc.edu_generative-AI_home,2,"guide provides information on the use of generative ai in academic papers and research, and provides guidance on the ethical use of generative ai in an academic setting. home introduction to generative ai citing generative ai using generative ai in scholarship and research ai in publishing limitations warnings ethical considerations key takeaways resources for students resources for faculty digital humanities and ai usc specific guidelines"
libguides.usc.edu_generative-AI_home,3,"considerations key takeaways resources for students resources for faculty digital humanities and ai usc specific guidelines ai tools copyright and licensed materials learning resources purpose of this research guide this research guide is designed to help students, professors, and researchers understand and navigate the use of generative ai in an academic and research context. its intended to serve as starting point for understanding core concepts,"
libguides.usc.edu_generative-AI_home,4,"an academic and research context. its intended to serve as starting point for understanding core concepts, opportunities, limitations, and ethical considerations regarding generative ai in academia and research. it should be noted that this field and the implications of using generative ai in higher education and research is rapidly evolving. the usc libraries strive to keep our research guides current and regularly updated, however, given"
libguides.usc.edu_generative-AI_home,5,"evolving. the usc libraries strive to keep our research guides current and regularly updated, however, given the nature of this emerging technology and rapid pace of advancement, the information contained in this research guide may become outdated at times. the content of this guide does not represent official usc policy. when in doubt about how and when to use generative ai for assignments or publications,"
libguides.usc.edu_generative-AI_home,6,"policy. when in doubt about how and when to use generative ai for assignments or publications, it is best to check with your professor or publisher for specific guidance and policies. ai usc ai usc official site for ai tools and resources at usc. center for ai in society (dworak-peck and viterbi) unique collaboration between usc’s suzanne dworak-peck school of social work and viterbi school"
libguides.usc.edu_generative-AI_home,7,"(dworak-peck and viterbi) unique collaboration between usc’s suzanne dworak-peck school of social work and viterbi school of engineering, that advances the scholarship and application of ai for the well-being of vulnerable communities. center for autonomy and ai (viterbi) research center that aims to bring together faculty team with deep and broad expertise in related areas to solve fundamental research problems that are bottlenecks in development"
libguides.usc.edu_generative-AI_home,8,"and broad expertise in related areas to solve fundamental research problems that are bottlenecks in development of intelligent autonomy technologies. frontiers of computing (usc school of advanced computing) establishment of the usc school of advanced computing will include new silicon beach campus, already home to the usc information sciences institute and the usc institute for creative technologies under the usc viterbi school of engineering. ai"
libguides.usc.edu_generative-AI_home,9,"institute and the usc institute for creative technologies under the usc viterbi school of engineering. ai for media storytelling (cinematic arts and annenberg) collaboration experimenting with, inventing, studying, teaching, and debating the power of artificial intelligence for media and storytelling. ai in medicine collaboratory (keck) pioneering convergent research initiative committed to translating research findings into tangible, patient-centric solutions through collaboration and partnership($$). real usc-meta center"
libguides.usc.edu_generative-AI_home,10,"committed to translating research findings into tangible, patient-centric solutions through collaboration and partnership($$). real usc-meta center ming hsieh department of electrical and computer engineering and the daniel j. epstein department of industrial and systems engineering at the usc viterbi school of engineering together with meta, have established the usc ece-ise meta center for research and education in ai and learning. ai research for health (isi"
libguides.usc.edu_generative-AI_home,11,"ece-ise meta center for research and education in ai and learning. ai research for health (isi and viterbi) world leader in research and development of advanced information processing, computer and communications technologies. ai4health is developing novel ai approaches that have the potential to accelerate biomedical research and to improve health outcomes. center for excellence in teaching ai teaching resources with focus on ai’s impact in"
libguides.usc.edu_generative-AI_home,12,"health outcomes. center for excellence in teaching ai teaching resources with focus on ai’s impact in the classroom. usc libraries introduction to the ethical and responsible use of ai in academia, including resources on ai literacy, workshops, and guidance. next: introduction to generative ai >> last updated: dec 16, 2025 1:26 pm url: print page login to libapps university of southern california usc digital accessibility"
libguides.usc.edu_generative-AI_home,13,2025 1:26 pm url: print page login to libapps university of southern california usc digital accessibility twitter instagram facebook youtube pinterest
