Type,ID,Text
uit.stanford.edu_security_responsibleai,1,responsible ai at stanford university it skip to main content university it main menu explore services view all services view services approved for high risk data want to ... use video conferencing tools get it training create web forms and surveys set up email set up two-step authentication sponsor sunet id get software connect to the network secure my mobile device view website infrastructure options
uit.stanford.edu_security_responsibleai,2,sunet id get software connect to the network secure my mobile device view website infrastructure options publish website get started with it at stanford log into ... email and calendar zoom video conferencing medicine box file storage mailing lists stanford accounts mydevices qualtrics survey tool google drive understanding single sign on view alerts get support find answers report security incident request something get help topic
uit.stanford.edu_security_responsibleai,3,sign on view alerts get support find answers report security incident request something get help topic menu information security about us view all iso services contact us guides data security copyright infringement file and data backup high risk data in email identity theft international travel it system administrator guidance password manager phishing awareness position papers protecting sensitive data responsible ai at stanford third party security
uit.stanford.edu_security_responsibleai,4,"password manager phishing awareness position papers protecting sensitive data responsible ai at stanford third party security requirements other stanford security resources device security compliance exception encrypt your device mobile device security view your stanford-registered devices policies policies, standards, and guidelines overview minimum security standards payment card industry (pci) risk classifications risk classifications: approved services privacy data risk assessment (dra) hipaa ferpa monitoring tools privacy information"
uit.stanford.edu_security_responsibleai,5,classifications risk classifications: approved services privacy data risk assessment (dra) hipaa ferpa monitoring tools privacy information university privacy office programs phishing awareness program bug bounty program vulnerability disclosure program cybersecurity and privacy festival security alerts cybersecurity alerts and advisories service and software sunset schedule responsible ai at stanford enabling innovation through ai best practices overview safety measures risk factors guidance tools resources and help more
uit.stanford.edu_security_responsibleai,6,"innovation through ai best practices overview safety measures risk factors guidance tools resources and help more on genai generative artificial intelligence (ai) is built using algorithms that can generate text, images, videos, audio, and 3d models in response to prompts. popular examples of generative ai include chatgpt and google gemini. this type of ai can introduce both positive and negative impacts. ​with this guide, learn"
uit.stanford.edu_security_responsibleai,7,"gemini. this type of ai can introduce both positive and negative impacts. ​with this guide, learn how to more confidently use ai tools and models while keeping stanfords data safe. safety measures lets take look at several key ways we can increase privacy and security when using third-party ai platforms and tools. be aware critical step to using ai is to build your awareness of"
uit.stanford.edu_security_responsibleai,8,"platforms and tools. be aware critical step to using ai is to build your awareness of how the platform you are using works. importantly, any data put into third-party ai systems is transmitted and stored on external third-party servers over which stanford has no direct control. this can introduce risks of compromising these data, or even data loss. you can build awareness of how large"
uit.stanford.edu_security_responsibleai,9,"risks of compromising these data, or even data loss. you can build awareness of how large language models work and more from the new york times (free for stanford students, faculty, and staff through stanford libraries ). be careful in general, err on the side of caution when it comes to what you input with generative ai platform. consider disabling options related to saved history"
uit.stanford.edu_security_responsibleai,10,"comes to what you input with generative ai platform. consider disabling options related to saved history to prevent the information from being logged or tracked for training model purposes. avoid inputting any sensitive data, such as moderate or high risk data whether using personal or stanford account with third-party ai platform or tool that is not covered by stanford business associates agreement. review stanford approved"
uit.stanford.edu_security_responsibleai,11,"ai platform or tool that is not covered by stanford business associates agreement. review stanford approved services by data risk classification. have more questions? start discussion with iso be transparent if your final product is significantly influenced by an ai platform, consider informing people how you used ai and cite appropriately. transparency will help your audiences understand more about the role of ai in your"
uit.stanford.edu_security_responsibleai,12,"cite appropriately. transparency will help your audiences understand more about the role of ai in your work and build trust in your integrity. risk factors lets now look at the main risk factors when working with generative ai platforms. compromising sensitive data typically you need to provide some information, even if just prompt, to bring out result from generative ai. yet these inputs often train"
uit.stanford.edu_security_responsibleai,13,"even if just prompt, to bring out result from generative ai. yet these inputs often train the model and might be used to form future responses for others. when creating prompts: avoid inputting any sensitive data, such as moderate risk or high risk data .* *this includes: home addresses, passport numbers, personal health information, passwords, financial data, or intellectual property. this also includes: controlled unclassified"
uit.stanford.edu_security_responsibleai,14,"passport numbers, personal health information, passwords, financial data, or intellectual property. this also includes: controlled unclassified information (cui), international traffic in arms regulations (itar) data, as well as proprietary source code, and any information that would be protected under non-disclosure agreements (nda). inaccurate results information provided by ai can be incorrect or can create “hallucinations.” hallucination by ai is when false or incorrect information is"
uit.stanford.edu_security_responsibleai,15,"be incorrect or can create “hallucinations.” hallucination by ai is when false or incorrect information is provided by ai, but in very convincing manner. ai platforms typically will not introduce any skepticism about the false information, nor will they fact-check or provide citations. additionally, if prompted for citations and references, ai platforms have been known to generate inaccurate (but convincing) source information. in short: we"
uit.stanford.edu_security_responsibleai,16,"references, ai platforms have been known to generate inaccurate (but convincing) source information. in short: we cant trust results from generative ai completely. this can also apply to using ai to generate code, which could be badly constructed, insecure, create backdoors, and even risk intellectual property infringement. explore best practices discover security and privacy considerations for working with generative ai today. the information provided for"
uit.stanford.edu_security_responsibleai,17,"practices discover security and privacy considerations for working with generative ai today. the information provided for these context areas is not considered complete or exhaustive. area best practices data privacy usage avoid inputting data into generative ai about others that you wouldn’t want them to input about you. data privacy usage avoid inputting any sensitive data, such as moderate or high risk data whether using"
uit.stanford.edu_security_responsibleai,18,"privacy usage avoid inputting any sensitive data, such as moderate or high risk data whether using personal or stanford account with third-party ai platform or tool that is not covered by stanford business associates agreement. review stanford approved services by data risk classification. data privacy usage if inputting low risk data think about whether you want it to be public. data privacy usage its recommended"
uit.stanford.edu_security_responsibleai,19,"risk data think about whether you want it to be public. data privacy usage its recommended to opt out of sharing data for ai iterative learning wherever possible. data privacy usage if generative ai is to be used to interact with users, obtain their informed consent. users must be informed about how their data is being used and have the option to opt-out or delete"
uit.stanford.edu_security_responsibleai,20,"informed about how their data is being used and have the option to opt-out or delete their data. emerging technology to keep meetings secure and private, void potentially risky third-party bots and integrations. (third-party tools may have the ability to scrape your calendar for information, unknowingly transcribe or record meetings, save meetings in unknown places, and join meetings even when you’re not present.) recommended best"
uit.stanford.edu_security_responsibleai,21,"meetings, save meetings in unknown places, and join meetings even when you’re not present.) recommended best practices for content creation: if use of generative ai is permitted at all, one should always transparently cite its use. recommended best practices always refer to the specific policies and statements of discipline-relevant journals, publishers, and professional groups. promoting discourse discuss opportunities for ai to contribute positively to your"
uit.stanford.edu_security_responsibleai,22,"journals, publishers, and professional groups. promoting discourse discuss opportunities for ai to contribute positively to your goals. promoting discourse have conversations around ethical issues and limitations related to ai use and development. tools being explored view list of generative ai tools being evaluated by university it (uit) for potential implementation in various contexts, according to the needs of the stanford community. genai tool evaluation matrix"
uit.stanford.edu_security_responsibleai,23,"implementation in various contexts, according to the needs of the stanford community. genai tool evaluation matrix resources and help when reviewing the resources and policies shown on this page, keep in mind that the legality and ethics of how ai is developed and used is still evolving. for example, the growth of the ai industry has sparked an increase in ""data scraping"" (or copying and"
uit.stanford.edu_security_responsibleai,24,"the growth of the ai industry has sparked an increase in ""data scraping"" (or copying and using) huge amounts of information on the internet to train new ai models. while this practice is common, its legality and potential outcomes are not clearly decided at this time. other concerns related to generative ai are similarly under debate and scrutiny. more resources and communities at stanford stanford"
uit.stanford.edu_security_responsibleai,25,to generative ai are similarly under debate and scrutiny. more resources and communities at stanford stanford university community members are part of the ground-breaking research and work around generative ai. you can explore more perspectives and explorative efforts with these sites: artificial intelligence teaching guide stanford teaching commons generative ai: perspectives from stanford hai the stanford artificial intelligence laboratory (sail) stanford trustworthy ai and you
uit.stanford.edu_security_responsibleai,26,"ai: perspectives from stanford hai the stanford artificial intelligence laboratory (sail) stanford trustworthy ai and you can build knowledge about ai with this useful newsletter series from the new york times (available free for stanford students, staff, and faculty through stanford libraries ): on tech: a.i. newsletter series (new york times) help for privacy questions: ​submit help request for the university privacy office (upo) for"
uit.stanford.edu_security_responsibleai,27,york times) help for privacy questions: ​submit help request for the university privacy office (upo) for it security questions: submit help request for the information security office (iso) considering generative ai third-party tool? start discussion with iso to report an incident (such as data breach or system compromise): report an incident relevant policies at stanford remember to review and consider how stanfords security and privacy
uit.stanford.edu_security_responsibleai,28,an incident relevant policies at stanford remember to review and consider how stanfords security and privacy policies apply to using ai: generative ai policy guidance at stanford minimum security standards at stanford minimum privacy standards at stanford health insurance portability and accountability act (hipaa) european union’s general data protection regulation (gdpr) federal family educational rights and privacy act (ferpa) research policy handbook and hrpp consider
uit.stanford.edu_security_responsibleai,29,"regulation (gdpr) federal family educational rights and privacy act (ferpa) research policy handbook and hrpp consider other policies that might apply to your work and scholarship, as well. education and awareness grow your awareness, build an education plan, and keep track of ai-related developments worldwide with these resources: uit tech training ai programs comparison chart by stanford online linkedin learning: artificial intelligence coursera log in"
uit.stanford.edu_security_responsibleai,30,tech training ai programs comparison chart by stanford online linkedin learning: artificial intelligence coursera log in with your stanford id to audit ai for everyone prompt engineering for chatgpt ai watch: global regulatory tracker do you have feedback about this page? share feedback services explore all services cloud solutions q&as practice secure computing work anywhere guide it perks support find answers request something get help
uit.stanford.edu_security_responsibleai,31,q&as practice secure computing work anywhere guide it perks support find answers request something get help view system and project status browser recommendations tech resources support (for students) university it about us organization chart current job openings uit annual report uit at-a-glance connect news recent announcements events communities of practice uit community (uit staff only) uit web editors login stanford home maps directions search stanford
uit.stanford.edu_security_responsibleai,32,practice uit community (uit staff only) uit web editors login stanford home maps directions search stanford emergency info terms of use privacy copyright trademarks non-discrimination accessibility copyright stanford university stanford california 94305
