Type,ID,Text
provost.yale.edu_news_guidelines-use-generative-ai-tools,1,"guidelines for the use of generative ai tools office of the provost skip to main content yale university open main navigation close main navigation office of the provost people committees policies faculty resources research academic priorities budget news home news guidelines for the use of generative ai tools guidelines for the use of generative ai tools wednesday, september 20, 2023 [summary: the following message provides"
provost.yale.edu_news_guidelines-use-generative-ai-tools,2,"for the use of generative ai tools wednesday, september 20, 2023 [summary: the following message provides guidance to all members of the yale community regarding the responsible use of generative ai.] dear members of the yale community, publicly available generative artificial intelligence (ai) tools such as chatgpt, bing, midjourney, and bard have garnered tremendous attention in the past year. the field of generative ai is"
provost.yale.edu_news_guidelines-use-generative-ai-tools,3,"and bard have garnered tremendous attention in the past year. the field of generative ai is developing rapidly. while its precise impacts are unknown, this technology will transform how we learn, teach, conduct research, and carry out daily tasks. we encourage you to experiment with ai tools. as you explore ai’s potential, please adhere to the following general guidelines, which align with existing university policies"
provost.yale.edu_news_guidelines-use-generative-ai-tools,4,"explore ai’s potential, please adhere to the following general guidelines, which align with existing university policies and uphold our institutional commitment to safety, security, and academic integrity. 1. protect yale’s confidential information and your own. do not enter confidential or legally restricted data or any data that yale’s data classification policy identifies as moderate or high-risk into an ai tool. if you are not sure"
provost.yale.edu_news_guidelines-use-generative-ai-tools,5,"classification policy identifies as moderate or high-risk into an ai tool. if you are not sure whether you should share certain data, please review yale’s data classification policy 2. assume all information shared will be made public. treat all information shared with an ai tool as if it will become public. do not share information that is personal or sensitive, and be mindful that the"
provost.yale.edu_news_guidelines-use-generative-ai-tools,6,"become public. do not share information that is personal or sensitive, and be mindful that the information you input into an ai tool may be retained. 3. always follow academic integrity guidelines and institutional standards of conduct. all students and faculty are expected to know and adhere to their school’s academic integrity policies. faculty members are expected to provide clear instructions on the permitted use"
provost.yale.edu_news_guidelines-use-generative-ai-tools,7,"school’s academic integrity policies. faculty members are expected to provide clear instructions on the permitted use of generative ai tools for academic work and requirements for attribution. likewise, students are expected to follow their instructors’ guidelines about permitted use of ai for coursework. 4. be alert for bias and inaccuracy. ai-generated responses can be biased, inaccurate, inappropriate, or may contain unauthorized copyrighted information. we are"
provost.yale.edu_news_guidelines-use-generative-ai-tools,8,"inaccuracy. ai-generated responses can be biased, inaccurate, inappropriate, or may contain unauthorized copyrighted information. we are each responsible for the content of our work product. always review and verify outputs generated by ai tools, especially before publication. 5. protect yourself and your credentials. never share your yale netid and password with ai tools, and always be aware of phishing schemes. for information, tips, and toolkits"
provost.yale.edu_news_guidelines-use-generative-ai-tools,9,"password with ai tools, and always be aware of phishing schemes. for information, tips, and toolkits on cybersafe practices, visit yale’s cybersecurity website which also includes information about security policies and standards. 6. seek support. the university is working to support procurement practices that coordinate shared interests and minimize institutional risk. if you are considering acquiring an ai product, please conduct an initial review of"
provost.yale.edu_news_guidelines-use-generative-ai-tools,10,"institutional risk. if you are considering acquiring an ai product, please conduct an initial review of the tool to ensure that it conforms to institutional security requirements. use yale’s purchasing intake portal or contact generative ai is evolving quickly, as is institutional support for utilizing these tools. for up-to-date recommendations on teaching and learning, please visit the poorvu center’s webpage on “ai guidance.” detailed ai"
provost.yale.edu_news_guidelines-use-generative-ai-tools,11,"recommendations on teaching and learning, please visit the poorvu center’s webpage on “ai guidance.” detailed ai guidelines for staff are available on yale’s data governance website as university community dedicated to exchanging ideas, disseminating knowledge, and fostering climate for breakthrough discoveries, we will embrace technological tools and harness their power for innovation. we must do this safely and responsibly. we thank you for your efforts"
provost.yale.edu_news_guidelines-use-generative-ai-tools,12,"power for innovation. we must do this safely and responsibly. we thank you for your efforts in adhering to these guidelines. sincerely, scott a. strobel provost jack f. callahan senior vice president for operations john p. barden vice president for information technology archives december 2025 (1) october 2025 (1) september 2025 (1) august 2025 (1) july 2025 (1) june 2025 (1) april 2025 (1) march"
provost.yale.edu_news_guidelines-use-generative-ai-tools,13,"september 2025 (1) august 2025 (1) july 2025 (1) june 2025 (1) april 2025 (1) march 2025 (1) february 2025 (3) january 2025 (1) december 2024 (1) august 2024 (1) next last yale accessibility at yale privacy policy copyright 2026 yale university all rights reserved office of the provost p.o. box 208333, new haven, ct 06520-8365 contact us facebook twitter itunes youtube sina weibo tumblr"
