Type,ID,Text
oercs.berkeley.edu_CERC-AIR,1,"compliance and enterprise risk committees (cerc) artificial intelligence risk subcommittee (air) office of ethics, risk, and compliance services skip to main content office of the chancellor toggle navigation office of ethics, risk, and compliance services search terms submit search home about policies campus policy library policies under review systemwide policies office of the president guidance campuswide policy governance campus community standards ethics privacy about privacy"
oercs.berkeley.edu_CERC-AIR,2,"policies office of the president guidance campuswide policy governance campus community standards ethics privacy about privacy preservation, access requests, and transparency selected privacy policies and regulations privacy resources delegations conflict of interest financial conflict of interest and disqualification rules under the ca political reform act gifts and gratuities research conflict of interest outside professional activities and conflict of commitment doing business with uc berkeley ai"
oercs.berkeley.edu_CERC-AIR,3,conflict of interest outside professional activities and conflict of commitment doing business with uc berkeley ai ethics records management home compliance and enterprise risk committees (cerc) artificial intelligence risk subcommittee (air) compliance and enterprise risk committees (cerc) artificial intelligence risk subcommittee (air) cerc-air purpose and structure the cerc-air subcommittee was created at the joint suggestion of the provosts advisory council on artificial intelligence and the
oercs.berkeley.edu_CERC-AIR,4,"was created at the joint suggestion of the provosts advisory council on artificial intelligence and the compliance and enterprise risk committee (cerc) in 2025. its purpose is to provide risk assessment and risk mitigation advice to berkeley units, departments, schools and colleges by reviewing proposed new ai tools or new uses of existing tools. while the committee expects that the majority of the proposals it"
oercs.berkeley.edu_CERC-AIR,5,"new uses of existing tools. while the committee expects that the majority of the proposals it reviews will involve administrative uses of ai, the committee welcomes proposals on tools used in teaching and research as well. cerc-air is comprised of representatives from cerc and other units across campus. cerc-air counts faculty, staff, and students among its members. overview of ai risk assessment process cerc-airs review"
oercs.berkeley.edu_CERC-AIR,6,"counts faculty, staff, and students among its members. overview of ai risk assessment process cerc-airs review is informed by the uc ai council ’s risk assessment guide cerc-air meets every two weeks. proposals may be referred to cerc-air through the procurement process, or individuals who are developing their own tools can also consult with cerc-air. in order to have your proposal reviewed by cerc-air, please"
oercs.berkeley.edu_CERC-AIR,7,"tools can also consult with cerc-air. in order to have your proposal reviewed by cerc-air, please complete an ai risk pre-screening this screening will assist the committee in determing whether the proposed use of ai falls in cerc-airs purview. requestors will be advised as to next steps immediately following submission of the screening. following completion of the ai risk pre-screening, requestors whose proposals are deemed"
oercs.berkeley.edu_CERC-AIR,8,"submission of the screening. following completion of the ai risk pre-screening, requestors whose proposals are deemed to be within the purview of cerc-air will be asked to complete the full ai risk assessment the result of cerc-airs review is high level risk assessment as well as specific recommendations for the unit head to consider before moving forward with the proposal. cerc-air may also refer proposals"
oercs.berkeley.edu_CERC-AIR,9,"the unit head to consider before moving forward with the proposal. cerc-air may also refer proposals to other specialized offices or committees as appropriate. cerc-airs review may occur simultaneously with reviews for privacy, security, or accessibility, as appropriate. contact email cerc-air@berkeley.edu if you are interested in learning more about the cerc-air review process. submit an ai risk assessment ethical and privacy considerations when using ai"
oercs.berkeley.edu_CERC-AIR,10,"the cerc-air review process. submit an ai risk assessment ethical and privacy considerations when using ai faqs why should participate in the ai risk assessment process? ai poses enormous potential to improve our lives, but also includes risks. completing the ai risk assessment helps units consider areas of risk that they may not have yet considered. it also provides shared language to use in discussing"
oercs.berkeley.edu_CERC-AIR,11,"that they may not have yet considered. it also provides shared language to use in discussing these risks with vendors, members of the units project team, and compliance and legal experts across the uc system. who will review the ai risk assessment submit? cerc-air will review the results of this assessment. cerc-air provides guidance to berkeley units, departments, schools and colleges regarding the development or"
oercs.berkeley.edu_CERC-AIR,12,"this assessment. cerc-air provides guidance to berkeley units, departments, schools and colleges regarding the development or procurement and implementation of new, ai-enabled products or services for use by the berkeley community in teaching, learning and administration. what is the relationship between uc berkeley’s cerc-ai risk assessment and the uc ai councils ai risk assessment guide? areas of cerc-airs review correspond with the uc ai council’s"
oercs.berkeley.edu_CERC-AIR,13,"ai councils ai risk assessment guide? areas of cerc-airs review correspond with the uc ai council’s risk assessment guide, which, itself, is based upon the national institute of standards and technologys ai risk management framework. what subject areas comprise this assessment? this assessment collects information about to what extent the proposed tool comports with the ucs responsible ai principles. these principles are gathered in five"
oercs.berkeley.edu_CERC-AIR,14,"the proposed tool comports with the ucs responsible ai principles. these principles are gathered in five sections; they are: 1) appropriateness shared benefit and prosperity, 2) privacy and security, and 3) transparency, 4) fairness and non-discrimination, human values, and 5) accountability and accuracy, reliability and safety. is this assessment the same as the security review or privacy review? how do these relate? this assessment is"
oercs.berkeley.edu_CERC-AIR,15,"the same as the security review or privacy review? how do these relate? this assessment is independent. the same proposals may go through one, two, or all three reviews, depending on what the proposal involves. these three reviews are not directly dependent on one another and can proceed in parallel. home credits office of the chancellor 711 ca relay service powered by open berkeley accessibility"
oercs.berkeley.edu_CERC-AIR,16,parallel. home credits office of the chancellor 711 ca relay service powered by open berkeley accessibility statement nondiscrimination policy statement privacy statement copyright 2026 uc regents; all rights reserved back to top
