Type,ID,Text
guides.library.georgetown.edu_ai,1,home artificial intelligence (generative) resources guides at georgetown university skip to main content user account menu your account toggle navigation menu services borrow renew interlibrary consortium loans request pick up course reserves office delivery equipment disability support printing scanning off-campus access software linkedin learning research research consultations research course guides citation tools subject librarians digital scholarship data services design create digital publishing scholarly communication copyright
guides.library.georgetown.edu_ai,2,"guides citation tools subject librarians digital scholarship data services design create digital publishing scholarly communication copyright articles databases collections rare books, manuscripts, art archives articles databases digitalgeorgetown library catalogs audio video collection slavery, memory reconciliation exhibitions library maps call number locations spaces study spaces computing spaces meeting instruction spaces maker hub digital media studios gelardin center booth family center for special collections writing center carrels"
guides.library.georgetown.edu_ai,3,maker hub digital media studios gelardin center booth family center for special collections writing center carrels lockers bioethics research library blommer science library lauinger library georgetown university in qatar library capitol campus library all georgetown libraries about hours maps directions events give to the library policies contact us staff directory library departments library showcase library guides research guides artificial intelligence (generative) resources home search this
guides.library.georgetown.edu_ai,4,"directory library departments library showcase library guides research guides artificial intelligence (generative) resources home search this guide search artificial intelligence (generative) resources home welcome to generative ai sample use cases for genai tools like chatgpt and elicit related research guides ai fundamentals ai tools for research how to craft prompts research resources on ai latest news on ai ethics ai citing generative ai ai, authorship,"
guides.library.georgetown.edu_ai,5,"prompts research resources on ai latest news on ai ethics ai citing generative ai ai, authorship, copyright campus resources and policies need help? lauinger reference email me contact: 202-687-7607 website social: facebook page twitter page youtube page instagram page subjects: biography book reviews census information dissertations theses encyclopedias dictionaries multidisciplinary databases welcome to generative ai generative artificial intelligence (gai) seems to have taken the world"
guides.library.georgetown.edu_ai,6,"multidisciplinary databases welcome to generative ai generative artificial intelligence (gai) seems to have taken the world by storm. relying on models that can create new content in the form of text, media, code, and the like, generative ai is used in variety of globally popular tools such as chatgpt, elicit, or bard. its unique appeal is linked to its ability to learn the paradigms of"
guides.library.georgetown.edu_ai,7,"elicit, or bard. its unique appeal is linked to its ability to learn the paradigms of its input and use it to generate new information with similar characteristics. this guide is intended to help students, faculty, and staff at georgetown university to navigate the quickly evolving terrain of generative ai. it provides an overview of popular ai research tools, offers guidance on crafting prompts in"
guides.library.georgetown.edu_ai,8,"ai. it provides an overview of popular ai research tools, offers guidance on crafting prompts in these tools, and points out key library databases and e-books on ai. it also supplies resources related to core ai ethical issues while laying out basic citation rules. if you require additional assistance, please dont hesitate to email librarian sample use cases for genai tools like chatgpt and elicit"
guides.library.georgetown.edu_ai,9,please dont hesitate to email librarian sample use cases for genai tools like chatgpt and elicit reminder: check your syllabus or ask your professor before using generative ai tools for class or an assignment. ai tools can be helpful with: be more cautious with ai tools if you: writing models need very recent information suggesting synonyms do not have previous knowledge of topic copy editing
guides.library.georgetown.edu_ai,10,models need very recent information suggesting synonyms do not have previous knowledge of topic copy editing are concerned about potential plagiarism or copyright violations brainstorming need to perform complex mathematics summarizing* are unsure if youre permitted to use ai tools in your research or writing translation are concerned about the electrical energy use in running these tools *be aware of the copyright restrictions of any
guides.library.georgetown.edu_ai,11,"the electrical energy use in running these tools *be aware of the copyright restrictions of any content you upload to an ai tool. for more information on using generative ai resources in your research, visit our research guide ai tools crafting prompts citing ai tools campus policies related research guides media creation with generative ai data analysis and visualization with generative ai next: ai fundamentals"
guides.library.georgetown.edu_ai,12,"guides media creation with generative ai data analysis and visualization with generative ai next: ai fundamentals >> last updated: dec 8, 2025 11:57 am url: print page login to libapps report problem subjects: artificial intelligence this work is licensed under creative commons attribution noncommercial 4.0 international license details of our policy contact us directory visit maps services research collections spaces about instagram facebook youtube georgetown"
guides.library.georgetown.edu_ai,13,"our policy contact us directory visit maps services research collections spaces about instagram facebook youtube georgetown university library 37th streets, n.w. washington, d.c. 20057-1174 202-687-7607 privacy policy copyright web accessibility notice of non-discrimination"
