Type,ID,Text
SU25-GAI_PoliciesPractices,1,copy of gai course design: policies practices ●​ gai teaching learning in higher ed ●​ impacts of gai on residential education ●​ reconsidering your learning outcomes ●​ redesigning your assessments classroom practices ●​ articulating your ai-use policy ●​ ai decision tree ●​ additional resources gai teaching learning in higher ed what instructors should know/do what students should know/do ●​ ai is ubiquitous students are using
SU25-GAI_PoliciesPractices,2,"ed what instructors should know/do what students should know/do ●​ ai is ubiquitous students are using it, and are likely to use it in your course. ●​ just because you can use gai for an assignment, or other coursework doesn’t mean you should, ●​ there is no way to reliably detect its use. ●​ your use of gai may raise an instructor’s suspicions. ●​ create"
SU25-GAI_PoliciesPractices,3,"reliably detect its use. ●​ your use of gai may raise an instructor’s suspicions. ●​ create and communicate clear, explicit acceptable use policy. ●​ provide rationale for the policy. ●​ stress student learning. ●​ build community of learners. ●​ understand your instructor’s ai use policy. ●​ ask questions about the policy if you are unsure. ●​ (mit does not have one, single ai-use policy don’t"
SU25-GAI_PoliciesPractices,4,"the policy if you are unsure. ●​ (mit does not have one, single ai-use policy don’t assume that the policy in all of your subjects will be the same). ●​ communicate and discuss your gai policy with your colleagues. ●​ consider creating baseline, department or program policy. ●​ critically examine your learning goals and assessments of student learning. ○​ are your goals for learning still"
SU25-GAI_PoliciesPractices,5,"examine your learning goals and assessments of student learning. ○​ are your goals for learning still relevant ○​ are your assessments ai-aware? ○​ might the use of ai allow you to achieve higher-order, more advanced goals? ●​ take time to read and understand the learning goals for the course. ●​ convey to students why you have chosen the particular learning goals for the course. ●​"
SU25-GAI_PoliciesPractices,6,●​ convey to students why you have chosen the particular learning goals for the course. ●​ why is it important that students achieve these goals? ●​ using ai to do the work only shortcuts your learning and may prevent you from achieving the course goals. ●​ communicate the value and importance of your assignments and assessments. ○​ let students know why you have chosen each
SU25-GAI_PoliciesPractices,7,"and importance of your assignments and assessments. ○​ let students know why you have chosen each of the assignments. ○​ be explicit about what students should learn by engaging with each assignment (and how it measures their achievement of particular learning outcomes. ○​ if applicable, tell students why you are asking them not to use gai (or why you are asking them to use gai"
SU25-GAI_PoliciesPractices,8,are asking them not to use gai (or why you are asking them to use gai in particular ○​ let them know what they will lose if they use ai for their work. ●​ just because ai can complete an assignment doesn’t mean you shouldnt do it yourself. ●​ what are you learning or not learning through your use of gai? be honest with yourself.
SU25-GAI_PoliciesPractices,9,"what are you learning or not learning through your use of gai? be honest with yourself. ●​ critically evaluate all ai output. ●​ be savvy user don’t be fooled by ai’s rapid responses and built-in certainty. ●​ how do you know the output is accurate, complete, and acceptable? impacts of gai on residential higher ed j. rankin, 2025 link to mural [1] mollick mollick: using"
SU25-GAI_PoliciesPractices,10,"of gai on residential higher ed j. rankin, 2025 link to mural [1] mollick mollick: using ai to implement effective teaching strategies in classrooms: five strategies, [2] including prompts (2023); eric hudson learning on purpose reconsidering your learning outcomes genai reinforces the importance of an intentional, learner-centered course design approach wiggins mctighe, understanding by design how does the availability of llms/gai impact your goals for"
SU25-GAI_PoliciesPractices,11,"approach wiggins mctighe, understanding by design how does the availability of llms/gai impact your goals for student learning and the assignments you use to measure student achievement of those goals? for more info on creating learning outcomes see tll’s page on backward design, refer to the bloom’s taxonomy table, on p.6. ●​ ai does not impact them at all. ●​ ai is not useful in"
SU25-GAI_PoliciesPractices,12,on p.6. ●​ ai does not impact them at all. ●​ ai is not useful in completion of assignments ●​ ai can achieve the course goals ●​ ai can complete or partially complete some assignments redesigning your assessments classroom practices re your outcomes for learning (goals): if you are all set! if b: you have choices: 1.​ change your course goals so that they are
SU25-GAI_PoliciesPractices,13,all set! if b: you have choices: 1.​ change your course goals so that they are in the “a” category and change your assignments to align with your new goals 2.​ keep your goals but change your assignments 3.​ keep your goals and your assignments bloom’s taxonomy taxonomy of educational objectives for the cognitive domain cognitive domain selection of active verbs for learning outcomes asks
SU25-GAI_PoliciesPractices,14,"educational objectives for the cognitive domain cognitive domain selection of active verbs for learning outcomes asks students remember knowledge ability to recall previously learned material, know specific facts/ methods/ procedures, know basic concepts/principles. define, label, recall, order, list, quote, match, state, recognize, identify, recite who, what, when, where, how? how do you define? understand comprehension ability to explain and contextualize the meaning of material, interpret"
SU25-GAI_PoliciesPractices,15,"how do you define? understand comprehension ability to explain and contextualize the meaning of material, interpret charts/graphs, estimate future consequences implied in the data. describe, discuss, summarize, paraphrase, report, review, explain how would you paraphrase? what are the main ideas? how would you summarize? provide examples of…… apply application ability to use learned information in new situations/problem solving/ solutions that have ‘best answers’, demonstrate correct"
SU25-GAI_PoliciesPractices,16,"ability to use learned information in new situations/problem solving/ solutions that have ‘best answers’, demonstrate correct usage of procedures, apply laws/theories to practical situations. assess, demonstrate, examine, distinguish, establish, show, report, implement, determine, produce, solve, draw,interpret, provide, use, utilize, write how is an example of y? how is xx related to yy? why is xx significant? analyze analysis ability to identify component parts of knowledge,"
SU25-GAI_PoliciesPractices,17,"related to yy? why is xx significant? analyze analysis ability to identify component parts of knowledge, to explain its structure and composition, recognise logical fallacies in reasoning, make distinctions between facts and inferences. analyze, illustrate, discriminate, differentiate, distinguish, examine, question, infer, support, prove, test, experiment, categorize, write what are the parts/features of xx? classify according to …..? outline/diagram how does xx compare /contrast with what"
SU25-GAI_PoliciesPractices,18,"the parts/features of xx? classify according to …..? outline/diagram how does xx compare /contrast with what evidence is there for? evaluate evaluation ability to judge the value of evidence/material for given purpose. appraise, criticize, assess, argue, justify, defend, interpret, support, estimate, evaluate, critique, review, write do you agree that…? what do you think about..? what is the most important…? prioritize give rationale for... provide criteria"
SU25-GAI_PoliciesPractices,19,"what do you think about..? what is the most important…? prioritize give rationale for... provide criteria for assessing... create synthesis ability to creatively apply knowledge to new areas, integrate new knowledge, write well argued paper/speech, propose research design to test hypothesis. compile, categorize, generate, negotiate, reconstruct, write, reorganize, revise, validate, organize, plan, propose, set up, substitute, initiate, express, compare, modify, design, create, build, devise, integrate"
SU25-GAI_PoliciesPractices,20,"validate, organize, plan, propose, set up, substitute, initiate, express, compare, modify, design, create, build, devise, integrate what would you infer/predict from ..? what ideas can you add to how would you create/design? what might happen if you ?what solutions would you suggest..? benjamin s. bloom david r. krathwohl. (1956). taxonomy of educational objectives: the classification of educational goals, by committee of college and university examiners."
SU25-GAI_PoliciesPractices,21,"taxonomy of educational objectives: the classification of educational goals, by committee of college and university examiners. handbook 1: cognitive domain. new york, longmans. dr. phillippa hardman gai-aware make-overs [b.2] writing-specific examples are from annette vee’s post, ai aware teaching examples, in ai how we teach writing. assignment why this assignment? ai resistant modification ai leveraged modification writing intensive courses annotated bibliography [ai can do this]"
SU25-GAI_PoliciesPractices,22,"assignment? ai resistant modification ai leveraged modification writing intensive courses annotated bibliography [ai can do this] provides practice finding and evaluating sources; prepares students for project that uses sources to make an argument. construct an i-search narrative about their research process, describing why they chose topic, how they began their search, who they talked to, what threads they followed and why, what questions remain for"
SU25-GAI_PoliciesPractices,23,"their search, who they talked to, what threads they followed and why, what questions remain for them, etc. ask students to prepare for research by making list of what they don’t know about topic, what they want to know, and what they can’t know about topic. you could ask students to begin that list in class, minimizing distractions and temptations of ai. pose research question"
SU25-GAI_PoliciesPractices,24,"students to begin that list in class, minimizing distractions and temptations of ai. pose research question to an llm w/specified prompt characteristics constraints, then ask students to evaluate sources for: quality, veracity, completeness, etc reading response [ai can do this] holds students accountable for doing their assigned reading; allows students to interact /work with each other; motivates prep for discussion in class. de-emphasize the written"
SU25-GAI_PoliciesPractices,25,"students to interact /work with each other; motivates prep for discussion in class. de-emphasize the written product and shift the work to in-class creation and discussion. the paranoid memorandum (jason crider, texas) ask students to break into groups to work on brief writing assignment with detailed, specific prompt.​ each group is given an instruction to either use ai or not use ai in have students"
SU25-GAI_PoliciesPractices,26,"group is given an instruction to either use ai or not use ai in have students interact with text using ai before assigning it. let students know they’ll be working with particular text in class, but tell them not to read it yet. in class, give students ~10 minutes to ask an ai anything they want to know about the text: summary, which texts or"
SU25-GAI_PoliciesPractices,27,"to ask an ai anything they want to know about the text: summary, which texts or debates it engages with, how it connects to concepts in class, etc. completing the assignment. groups then share their work with the entire class and guess whether each group used ai or not. the trick is that all of the groups are assigned to not use ai (only works"
SU25-GAI_PoliciesPractices,28,"the trick is that all of the groups are assigned to not use ai (only works once) n.b., crider’s acceptable use policy is shared at the link above. then, run discussion about what they learned about the text, and what further questions they have. finally, assign students to read the text themselves prior to the next class’ discussion of the text.. see, matt burton’s writing"
SU25-GAI_PoliciesPractices,29,"the text themselves prior to the next class’ discussion of the text.. see, matt burton’s writing machines syllabus reflections [ai can do this] encourages students to make personal connections in their writing; fosters metacognition re insights and frustrations in the writing /thinking process.​ in class, have students annotate their own work or do pen-and-paper brainstorming: how they feel when writing this assignment; what challenges they"
SU25-GAI_PoliciesPractices,30,"own work or do pen-and-paper brainstorming: how they feel when writing this assignment; what challenges they encountered; what they learned. alternatively, have students interview each other about their approach to the assignment. have students do human vs. machine contest, where they try to make the most human reflection using ai, then test it out on each other. which part was done by ai? how can"
SU25-GAI_PoliciesPractices,31,"ai, then test it out on each other. which part was done by ai? how can they tell? what did they learn from this exercise and what didn’t they learn? stem courses problem sets [ai can do these] repeated opportunities to solve challenging problems help to build students’ understanding of material and general problem solving skills option provide time for students to begin the problem"
SU25-GAI_PoliciesPractices,32,"of material and general problem solving skills option provide time for students to begin the problem set in class, without access to gai/web resources. have students reflect on difficulties address student questions/errors in situ. document student progress.​ remove in-class work on pset tell students they may use ai, and require them to evaluate responses/use. use weekly in-class quizzes to ensure that students are engaging with"
SU25-GAI_PoliciesPractices,33,require them to evaluate responses/use. use weekly in-class quizzes to ensure that students are engaging with material. allow them to complete work at home with access to the web. ask students to reflect on/report how if/they used ai use weekly in-class quizzes to ensure that students are engaging with material. solution/ example analysis students need to learn how to critically review examples and solutions (from
SU25-GAI_PoliciesPractices,34,"material. solution/ example analysis students need to learn how to critically review examples and solutions (from texts or elsewhere). present students with problem solutions that have varying types of errors (logic, numeric, etc.). it’s preferable if the errors result from common misconceptions. ask students to work through these: first on their own, then in groups. the jigsaw format works well. debrief to expose common misconceptions."
SU25-GAI_PoliciesPractices,35,"on their own, then in groups. the jigsaw format works well. debrief to expose common misconceptions. for one of the problem set questions (or another question) ask students to use gai to produce solution. then have them critically evaluate the answer. students must explain their assessment of the accuracy of the problem and include any prompts they used. computer programming coding pseudo-code helps students learn"
SU25-GAI_PoliciesPractices,36,of the problem and include any prompts they used. computer programming coding pseudo-code helps students learn to clearly articulate what they want their code to accomplish. may help students to create more efficient code provide prompt for small piece of code and ask students to draft pseudo-code in class (w/out gai). have students pair up and read/provide feedback on partners’ code. is it correct? can
SU25-GAI_PoliciesPractices,37,"(w/out gai). have students pair up and read/provide feedback on partners’ code. is it correct? can it be optimized? in class or as hw, ask students to input their optimized pseudo code into an llm. ask students to evaluate the code generated, and iterate on the prompt (or edit the llm output). require that students submit all interactions with the llm. ai assessment scale (updated),"
SU25-GAI_PoliciesPractices,38,"the llm output). require that students submit all interactions with the llm. ai assessment scale (updated), leon furze articulating your ai-use policy articulate your policy, your rationale and consider the state of ai detection software. tips for an effective ai syllabus policy 1.​ if ai is prohibited or required, explain why. 2.​ connect ai use to something familiar (e.g., getting help from friend or tutor)."
SU25-GAI_PoliciesPractices,39,"explain why. 2.​ connect ai use to something familiar (e.g., getting help from friend or tutor). 3.​ provide examples of acceptable and/or unacceptable use. 4.​ acknowledge ethical issues such as data privacy, bias, inaccuracy, intellectual property violations, environmental impact, etc. 5.​ note your ai documentation and citation requirements. this might include screenshots, transcripts, documents with “track changes” enabled, and/or relevant citation or disclosure guidelines: ○​"
SU25-GAI_PoliciesPractices,40,"might include screenshots, transcripts, documents with “track changes” enabled, and/or relevant citation or disclosure guidelines: ○​ apa ai citations guidelines ○​ mla ai citation guidelines ○​ ai disclosure framework 6.​ explain how misuse will be addressed. 7.​ encourage students to ask questions if your policy is unclear. after, daniel stanford: the best ai syllabus policies i’ve seen so far gai decision tree additional resources for"
SU25-GAI_PoliciesPractices,41,"stanford: the best ai syllabus policies i’ve seen so far gai decision tree additional resources for an extreme example of testing ai’s ability to complete assignments, see andrew maynard’s (asu) recent post, where he used openai’s new deep research tool to write phd dissertation. for resources on ai detection tools, see this document from tll for resources on redesigning assignments to make them more “ai"
SU25-GAI_PoliciesPractices,42,"tools, see this document from tll for resources on redesigning assignments to make them more “ai aware”, see the additional resources section of tll’s generative ai and your course page gai course design: policies practices gai teaching learning in higher ed impacts of gai on residential higher ed [1] mollick mollick: using ai to implement effective teaching strategies in classrooms: five strategies, [2] including prompts"
SU25-GAI_PoliciesPractices,43,"mollick mollick: using ai to implement effective teaching strategies in classrooms: five strategies, [2] including prompts (2023); eric hudson learning on purpose reconsidering your learning outcomes redesigning your assessments classroom practices bloom’s taxonomy taxonomy of educational objectives for the cognitive domain gai-aware make-overs [b.2] writing-specific examples are from annette vee’s post, ai aware teaching examples, in ai how we teach writing. annotated bibliography ai assessment"
SU25-GAI_PoliciesPractices,44,"vee’s post, ai aware teaching examples, in ai how we teach writing. annotated bibliography ai assessment scale (updated), leon furze articulating your ai-use policy gai decision tree additional resources for an extreme example of testing ai’s ability to complete assignments, see andrew maynard’s (asu) recent post, where he used openai’s new deep research tool to write phd dissertation. for resources on ai detection tools, see"
SU25-GAI_PoliciesPractices,45,"openai’s new deep research tool to write phd dissertation. for resources on ai detection tools, see this document from tll for resources on redesigning assignments to make them more “ai aware”, see the additional resources section of tll’s generative ai and your course page"
