Type,ID,Text
ai.universityofcalifornia.edu_governance-transparency_applicable-law-and-policy.,1,applicable law and uc policy skip to main content open menu close menu search submit search about news and events ai governance and transparency applicable law and uc policy toggle submenu ai communities ai council subcommittees ai council roster toggle submenu tools and resources home ai governance and transparency applicable law and uc policy applicable law and uc policy laws and uc policies —old and
ai.universityofcalifornia.edu_governance-transparency_applicable-law-and-policy.,2,"applicable law and uc policy applicable law and uc policy laws and uc policies —old and new— govern our use and deployment of ai by regulating data privacy and security, transparency and accountability, and protection against biases. laws and policies university of california statement of ethical values the university of californias statement of ethical values outlines the commitment of the university community to integrity, excellence,"
ai.universityofcalifornia.edu_governance-transparency_applicable-law-and-policy.,3,"of californias statement of ethical values outlines the commitment of the university community to integrity, excellence, accountability, and respect. these principles necessarily extend to the use of ai by the university and members of the university community. uc standards of ethical conduct the university of californias standards of ethical conduct outline ethical behavior for all university members, emphasizing fair dealing, accountability, respect, legal compliance, conflict"
ai.universityofcalifornia.edu_governance-transparency_applicable-law-and-policy.,4,"conduct outline ethical behavior for all university members, emphasizing fair dealing, accountability, respect, legal compliance, conflict of interest management, and the responsible use of resources. these standards apply to ai governance by requiring ethical research, privacy protection, accurate data handling, and compliance with legal and professional standards. regents policy 1111: policy on statement of ethical values and standards of ethical conduct the university of californias"
ai.universityofcalifornia.edu_governance-transparency_applicable-law-and-policy.,5,"1111: policy on statement of ethical values and standards of ethical conduct the university of californias statement of ethical values commits its community to the highest ethical standards, emphasizing integrity, excellence, accountability, and respect. the standards of ethical conduct apply to all members, including faculty, staff, students, and affiliates, and cover areas like fair dealing, individual responsibility, respect for others, compliance with laws, conflict of"
ai.universityofcalifornia.edu_governance-transparency_applicable-law-and-policy.,6,"and cover areas like fair dealing, individual responsibility, respect for others, compliance with laws, conflict of interest management, research ethics, confidentiality, internal controls, resource use, financial reporting, and reporting violations. these principles require ethical ai governance, promoting responsible research, data privacy, and integrity in ai development and use. anti-discrimination policy the anti-discrimination policy ensures an inclusive environment free from discrimination and harassment, and details prohibited"
ai.universityofcalifornia.edu_governance-transparency_applicable-law-and-policy.,7,"policy the anti-discrimination policy ensures an inclusive environment free from discrimination and harassment, and details prohibited conduct and reporting procedures. in the context of ai, this policy emphasizes the need for ai systems to avoid perpetuating discrimination and to include safeguards against bias, ensuring equitable treatment for all protected categories. uc policy on title ix the sexual violence and sexual harassment (svsh) policy helps ensure"
ai.universityofcalifornia.edu_governance-transparency_applicable-law-and-policy.,8,"categories. uc policy on title ix the sexual violence and sexual harassment (svsh) policy helps ensure safe environment by defining prohibited behaviors, outlining individual rights and responsibilities, and establishing reporting procedures. compliance with this policy mandates ai systems respect these standards, preventing technology from facilitating or ignoring sexual misconduct and reinforcing safe and respectful community pacaos-140 guidelines applying to non-discrimination on the basis of disability"
ai.universityofcalifornia.edu_governance-transparency_applicable-law-and-policy.,9,"and reinforcing safe and respectful community pacaos-140 guidelines applying to non-discrimination on the basis of disability pacaos-140 focuses on nondiscrimination on the basis of disability, ensuring that all university programs, services, and activities are accessible to individuals with disabilities. this policy intersects with ai use by mandating ai tools and systems adhere to these nondiscrimination guidelines. thus, ai applications must not discriminate against individuals with"
ai.universityofcalifornia.edu_governance-transparency_applicable-law-and-policy.,10,"and systems adhere to these nondiscrimination guidelines. thus, ai applications must not discriminate against individuals with disabilities and must be accessible and equitable in their deployment and operation. is-3: electronic information security bfb-is-3 is designed to protect the confidentiality, integrity, and availability of electronic information within the uc system, and provides comprehensive guidelines for risk management, access control, and compliance with legal and regulatory requirements"
ai.universityofcalifornia.edu_governance-transparency_applicable-law-and-policy.,11,"and provides comprehensive guidelines for risk management, access control, and compliance with legal and regulatory requirements to ensure the security of institutional information and it resources. is-3 aligns with ucs commitment to responsible ai use, emphasizing transparency, accountability, and ethical decision-making in ai deployment, which is crucial for maintaining data integrity and security as outlined in the policy. account and authentication management standard (aams) the"
ai.universityofcalifornia.edu_governance-transparency_applicable-law-and-policy.,12,"data integrity and security as outlined in the policy. account and authentication management standard (aams) the uc account and authentication management standard sets forth the minimum requirements for account, passphrase, and authentication management to protect ucs institutional information and it resources. it emphasizes the importance of secure access control and is key component in safeguarding against unauthorized access to sensitive data, including that which may"
ai.universityofcalifornia.edu_governance-transparency_applicable-law-and-policy.,13,"and is key component in safeguarding against unauthorized access to sensitive data, including that which may be used by ai systems. this policy ensures that ai technologies are accessed and managed securely, supporting the universitys commitment to responsible ai use by preventing misuse and maintaining the integrity of ai operations. rmp-2: records retention and disposition: principles, processes and guidelines rmp-2: records retention and disposition outlines"
ai.universityofcalifornia.edu_governance-transparency_applicable-law-and-policy.,14,"operations. rmp-2: records retention and disposition: principles, processes and guidelines rmp-2: records retention and disposition outlines the principles, processes, and guidelines for retaining and disposing of university records. the policy mandates systematic retention schedules and ensures that records are preserved for their required period based on administrative, legal, fiscal, and historical needs. this policy dictates how data, which may be used or generated by ai"
ai.universityofcalifornia.edu_governance-transparency_applicable-law-and-policy.,15,"and historical needs. this policy dictates how data, which may be used or generated by ai systems, should be managed, stored, and disposed of, ensuring compliance with legal and ethical standards for data protection and privacy. rmp-7: privacy of and access to information responsibilities bfb-rmp-7 focuses on protecting administrative records containing personally identifiable information (pii). it ensures that such records are managed according to privacy"
ai.universityofcalifornia.edu_governance-transparency_applicable-law-and-policy.,16,"records containing personally identifiable information (pii). it ensures that such records are managed according to privacy laws, including the california information practices act, and sets guidelines for the collection, use, and dissemination of pii. this policy provides framework to ensure that ai systems handling pii comply with privacy regulations, thus protecting individuals data from misuse and ensuring ethical ai deployment within the university system. hipaa:"
ai.universityofcalifornia.edu_governance-transparency_applicable-law-and-policy.,17,"thus protecting individuals data from misuse and ensuring ethical ai deployment within the university system. hipaa: policies and glossary the hipaa policies apply to all of uc’s covered entities, including medical centers, medical clinics, health care providers, health plans, and student health centers. the hipaa privacy rule protects individuals’ medical records and protected health information (phi), which is information that can be linked to specific"
ai.universityofcalifornia.edu_governance-transparency_applicable-law-and-policy.,18,"medical records and protected health information (phi), which is information that can be linked to specific individual with regards to the provisioning of health care services. under hipaa, ai may only be deployed in health systems where patient data is secure and private to prevent data breaches and unauthorized access. when using ai for research or analysis, hipaa allows the use of de-identified data, which"
ai.universityofcalifornia.edu_governance-transparency_applicable-law-and-policy.,19,"access. when using ai for research or analysis, hipaa allows the use of de-identified data, which is stripped of personal identifiers to ensure patient anonymity. when using identified data, such as for training ai models, patients must be informed about how their data will be used and must provide consent for its use. gramm-leach-bliley act (glba) compliance plan the ra mm- le ch -bli le"
ai.universityofcalifornia.edu_governance-transparency_applicable-law-and-policy.,20,"consent for its use. gramm-leach-bliley act (glba) compliance plan the ra mm- le ch -bli le act lba) compliance plan aims to protect customers personal information related to financial products, includin student loans, by imp le mentin risk assessments, safe uards, and workforce trainin this policy emphasizes the need for inte ra tion of robust data protection measures in ai systems, ensurin compliance with federal"
ai.universityofcalifornia.edu_governance-transparency_applicable-law-and-policy.,21,"for inte ra tion of robust data protection measures in ai systems, ensurin compliance with federal data privacy re ulations and preventin ai applications from compromisin customer information, inte rity, and privacy. pacaos-130 disclosure of information from student records pacaos-130 ali ned with the family educational ri hts and privacy act (ferpa) re ulates the disclosure of student records, specifyin the types of records covered,"
ai.universityofcalifornia.edu_governance-transparency_applicable-law-and-policy.,22,"privacy act (ferpa) re ulates the disclosure of student records, specifyin the types of records covered, students ri hts to access, conditions for non-consensual disclosure, and correction procedures. this policy stresses the importance of protectin student privacy in ai systems, requirin strin ent data access controls, privacy safe uards, and transparency to prevent unauthorized disclosure and misuse of student information. uc statement of privacy values,"
ai.universityofcalifornia.edu_governance-transparency_applicable-law-and-policy.,23,"and transparency to prevent unauthorized disclosure and misuse of student information. uc statement of privacy values, principles, and balancing test the uc statement of privacy values, princip le and balancin test emphasize the importance of privacy in protectin personal data within the university system. these princip le focus on transparency, accountability, and minimizin data col le ction to ensure privacy and data security. this policy"
ai.universityofcalifornia.edu_governance-transparency_applicable-law-and-policy.,24,"transparency, accountability, and minimizin data col le ction to ensure privacy and data security. this policy uide how ai systems must hand le personal data responsibly, ensurin that ai deployment within the university respects privacy ri hts and complies with established data protection standards apm 010: academic freedom apm-010 aims to uphold the principles of academic freedom, professional integrity, and fair treatment within the university"
ai.universityofcalifornia.edu_governance-transparency_applicable-law-and-policy.,25,"aims to uphold the principles of academic freedom, professional integrity, and fair treatment within the university of california system. ai should be treated as any other software system in its effect on academic freedom. apm 015: faculty code of conduct apm 015 is focused on academic freedom, professional standards, and the responsibilities of faculty members. in the context of ai, faculty should be vigilant about"
ai.universityofcalifornia.edu_governance-transparency_applicable-law-and-policy.,26,"and the responsibilities of faculty members. in the context of ai, faculty should be vigilant about biases and errors in ai tools that can affect equity and academic rigor. apm 160: maintenance of, access to, and opportunity to request amendment of academic personnel records apm 160 ensures the protection, access, and amendment rights of academic appointees personnel records within the university of california system, balancing"
ai.universityofcalifornia.edu_governance-transparency_applicable-law-and-policy.,27,"access, and amendment rights of academic appointees personnel records within the university of california system, balancing individual privacy with public transparency. ai systems handling academic records should maintain privacy, transparency, and the right to amend records, thereby upholding the same standards of confidentiality and fairness. bus-43: materiel management bfb-bus-43 outlines the guidelines for purchasing goods and services, emphasizing security, accountability, and compliance with regulatory standards."
