Type,ID,Text
yaledata.yale.edu_yale-university-ai-guidelines-staff,1,"yale university ai guidelines for staff administrative data governance skip to main content yale university open main navigation close main navigation administrative data governance home about executive council data stewards mission charter objectives project activities resources support finance data dictionary ai guidelines request forms home ai guidelines yale university ai guidelines for staff introduction since its founding in 1701, yale has been dedicated to expanding"
yaledata.yale.edu_yale-university-ai-guidelines-staff,2,"ai guidelines for staff introduction since its founding in 1701, yale has been dedicated to expanding and sharing knowledge, inspiring innovation, and preserving cultural and scientific information for future generations. artificial intelligence (ai) is built upon technological innovation, and ai tools enable the expansion and sharing of knowledge at scale. many faculty and researchers in the yale community have been utilizing ai for years some"
yaledata.yale.edu_yale-university-ai-guidelines-staff,3,"scale. many faculty and researchers in the yale community have been utilizing ai for years some are even on the cutting edge of ai research and development. this communication is meant to reach an audience that includes new users of ai, and especially for community members who are thinking about using ai in their daily work at yale. since publicly available tools like chatgpt, bing,"
yaledata.yale.edu_yale-university-ai-guidelines-staff,4,"about using ai in their daily work at yale. since publicly available tools like chatgpt, bing, and bard have gained momentous popularity, this is good time to go over some best practices that can help protect intellectual property as well as institutional knowledge and data. while staff are encouraged to try out ai tools, the guidance below stresses the importance of staying informed and mindful"
yaledata.yale.edu_yale-university-ai-guidelines-staff,5,"to try out ai tools, the guidance below stresses the importance of staying informed and mindful when using this rapidly evolving technology. the following guidelines were created to protect university data and ensure adherence to contractual and ethical responsibilities when using ai. scope these guidelines have been written with the use of yale administrative systems and data in mind, as well as faculty and staff"
yaledata.yale.edu_yale-university-ai-guidelines-staff,6,"the use of yale administrative systems and data in mind, as well as faculty and staff usage of ai tools. topics these guidelines will address include: best practices for faculty and staff when using ai at yale; examples of ways in which seemingly innocuous ai prompts can create privacy concerns. ai project/services requests procurement considerations process; option for azure subscription to host data securely. what"
yaledata.yale.edu_yale-university-ai-guidelines-staff,7,"concerns. ai project/services requests procurement considerations process; option for azure subscription to host data securely. what this guide is not: resource for students or faculty about the use of ai in teaching for that, visit the poorvu center page on ai guidance for teaching learning: comprehensive guide to the use of generative ai in research. more detailed guidance regarding the use of ai in the"
yaledata.yale.edu_yale-university-ai-guidelines-staff,8,"use of generative ai in research. more detailed guidance regarding the use of ai in the academic and research context is forthcoming. these are few resources available now on yale’s academic research on ai: artificial intelligence and machine learning computer science (yale.edu) the intelligent computing lab or the schmidt program on artificial intelligence, emerging technologies, and national power yale jackson school of global affairs best"
yaledata.yale.edu_yale-university-ai-guidelines-staff,9,"program on artificial intelligence, emerging technologies, and national power yale jackson school of global affairs best practices for faculty staff: if you use your yale email/credentials to sign up for an ai tool, do not use your netid password. treat information given to an ai tool (like chatgpt) as if it were public; do not share information that is personal, confidential, or proprietary intellectual property"
yaledata.yale.edu_yale-university-ai-guidelines-staff,10,"if it were public; do not share information that is personal, confidential, or proprietary intellectual property review yale’s data classification policy and avoid entering data that may fall into the moderate or high-risk data categories. you can review the university’s data classification here: be especially careful with sensitive data when using ai tools and consider whether the data you are using will compromise regulatory, contractual,"
yaledata.yale.edu_yale-university-ai-guidelines-staff,11,"when using ai tools and consider whether the data you are using will compromise regulatory, contractual, or legal obligations. closely monitor output from ai tools and be aware that responses sometimes contain subtle but meaningful hallucinations, uncited intellectual property, factual errors and biased or inappropriate statements. always use your judgment when analyzing ai responses. examples of ai prompts with commentary: write 250-word recommendation for my"
yaledata.yale.edu_yale-university-ai-guidelines-staff,12,judgment when analyzing ai responses. examples of ai prompts with commentary: write 250-word recommendation for my top student who is applying to graduate programs in [field]. can you help me create an announcement for an upcoming workshop on [topic]? need assistance in developing interview questions for candidates for [position]. what are some effective methods for promoting diversity and inclusion on campus? i’m working on grant
yaledata.yale.edu_yale-university-ai-guidelines-staff,13,"what are some effective methods for promoting diversity and inclusion on campus? i’m working on grant proposal. can you help me refine my project goals and objectives? what are some best practices for managing conflicts among team members in research project? these examples reflect variety of ways community members might utilize tool like chatgpt. when doing so, here are some considerations to keep in mind:"
yaledata.yale.edu_yale-university-ai-guidelines-staff,14,"might utilize tool like chatgpt. when doing so, here are some considerations to keep in mind: in general, it is best to anonymize personally identifiable information (pii) and if possible, use settings that ensure inputs are not retained by the ai. it is especially important to avoid entering personal information, such as patient data or academic details of student for instance student education records are"
