Type,ID,Text
teachingcommons.stanford.edu_teaching-guides_artificial-intelligence-teaching-gu,1,creating your course policy on ai teaching commons skip to main content skip to secondary navigation stanford university (link is external) stanford teaching commons search this site submit search menu articles supporting students inclusive support accessibility support resources for students professional development workshops programs request workshop do-it-yourself workshop kits exploring pedagogic uses of ai workshop kit analyzing the implications of ai workshop kit creating an
teachingcommons.stanford.edu_teaching-guides_artificial-intelligence-teaching-gu,2,exploring pedagogic uses of ai workshop kit analyzing the implications of ai workshop kit creating an ai course policy workshop kit integrating ai into assignments workshop kit join community get feedback on teaching technology tech-enhanced teaching tech support academic technology tools list policy guidance teaching guides foundations of course design theory to practice teach framework teacher-centered vs. student-centered course design technology integration framework instructional design
teachingcommons.stanford.edu_teaching-guides_artificial-intelligence-teaching-gu,3,design theory to practice teach framework teacher-centered vs. student-centered course design technology integration framework instructional design framework defining course modalities course planning creating learning outcomes design principles for canvas tas and the teaching team optimizing the syllabus using academic technologies equipment loans and support feedback and assessment formative assessment and feedback summative assessment and feedback academic honesty and stanfords honor code learning activities increasing student
teachingcommons.stanford.edu_teaching-guides_artificial-intelligence-teaching-gu,4,and feedback summative assessment and feedback academic honesty and stanfords honor code learning activities increasing student engagement growth mindset and enhanced learning improving teaching effectiveness gathering student feedback course evaluations and end-term student feedback professional development opportunities inclusive teaching guide getting started with inclusive teaching overview of inclusive teaching practices ten strategies to promote student flourishing what wish my professor knew planning an inclusive course
teachingcommons.stanford.edu_teaching-guides_artificial-intelligence-teaching-gu,5,practices ten strategies to promote student flourishing what wish my professor knew planning an inclusive course building an inclusive syllabus designing an accessible course equity and belonging in stem lab courses supporting diverse learners setting norms and commitments building inclusive community student support services gender inclusivity practices supporting students with disabilities inclusive learning activities inclusive and equitable discussions disruption preparation guide general guidance for disruption
teachingcommons.stanford.edu_teaching-guides_artificial-intelligence-teaching-gu,6,with disabilities inclusive learning activities inclusive and equitable discussions disruption preparation guide general guidance for disruption preparation the resilient syllabus preparing for student absences guidance for instructor and ta absences addressing disruptive social and political events handling classroom disruption cancellation of class meetings blended and hybrid teaching guide getting started with blended and hybrid teaching top teaching practices to continue on campus frameworks for blended
teachingcommons.stanford.edu_teaching-guides_artificial-intelligence-teaching-gu,7,started with blended and hybrid teaching top teaching practices to continue on campus frameworks for blended and hybrid teaching what is blended teaching? what is hybrid course? flipped classroom pedagogy tools and techniques for blended and hybrid teaching leverage canvas for blended and hybrid teaching academic technology in the classroom remote guest speakers recording course meetings remote teaching guide getting started online three simple models
teachingcommons.stanford.edu_teaching-guides_artificial-intelligence-teaching-gu,8,classroom remote guest speakers recording course meetings remote teaching guide getting started online three simple models for going online ten promising practices for effective online teaching solve common online teaching problems online feedback and assessment administering remote exams virtual office hours online learning activities rethinking online assignments engaging online activities balancing synchronous and asynchronous activities delivering content online live online lectures pre-recorded instructional video organizing
teachingcommons.stanford.edu_teaching-guides_artificial-intelligence-teaching-gu,9,activities balancing synchronous and asynchronous activities delivering content online live online lectures pre-recorded instructional video organizing content in canvas artificial intelligence teaching guide understanding ai literacy defining ai and chatbots exploring the pedagogical uses of ai chatbots analyzing the implications of ai for your course creating your course policy on ai integrating ai into assignments events events home symposium in autumn autumn 25-26 teaching commons
teachingcommons.stanford.edu_teaching-guides_artificial-intelligence-teaching-gu,10,on ai integrating ai into assignments events events home symposium in autumn autumn 25-26 teaching commons symposium autumn 24-25 teaching commons symposium autumn 23-24 teach symposium fall 22-23 teach symposium winter 21-22 teach symposium u-symposium in winter winter 23-24 teach u-symposium winter 22-23 teach u-symposium conference in spring 2025 teaching commons conference call for proposals workshops and lightning talks 2024 teaching commons conference workshops and
teachingcommons.stanford.edu_teaching-guides_artificial-intelligence-teaching-gu,11,teaching commons conference call for proposals workshops and lightning talks 2024 teaching commons conference workshops and lightning talks plenary speakers 2023 teach conference call for proposals workshops and lightning talks plenary speakers 2022 teach conference concurrent sessions conference call for proposals keynote and plenary bios media library about about us contribute your content creating your course policy on ai main navigation skip secondary navigation secondary
teachingcommons.stanford.edu_teaching-guides_artificial-intelligence-teaching-gu,12,us contribute your content creating your course policy on ai main navigation skip secondary navigation secondary navigation foundations of course design inclusive teaching guide disruption preparation guide blended and hybrid teaching guide remote teaching guide artificial intelligence teaching guide understanding ai literacy defining ai and chatbots exploring the pedagogical uses of ai chatbots analyzing the implications of ai for your course creating your course policy
teachingcommons.stanford.edu_teaching-guides_artificial-intelligence-teaching-gu,13,"uses of ai chatbots analyzing the implications of ai for your course creating your course policy on ai integrating ai into assignments main content start here we offer example syllabus statements, suggestions for what to include, and sample sentences that you might use as you think through your own course policy on ai and begin writing statement to put in your syllabus. analyzing the implications"
teachingcommons.stanford.edu_teaching-guides_artificial-intelligence-teaching-gu,14,"course policy on ai and begin writing statement to put in your syllabus. analyzing the implications of ai chatbots key points from the previous module academic integrity, student success, and workload balance represent three important areas of focus regarding the impact of ai chatbots. the office of community standards has stated that absent clear statement from the instructors, the use of generative ai will be"
teachingcommons.stanford.edu_teaching-guides_artificial-intelligence-teaching-gu,15,"has stated that absent clear statement from the instructors, the use of generative ai will be treated the same as assistance from another person. evaluate your own courses carefully when thinking about if and how you would use ai chatbots and how you would direct students to use them. go to the previous module outcomes for this module here we aim to guide you through"
teachingcommons.stanford.edu_teaching-guides_artificial-intelligence-teaching-gu,16,"go to the previous module outcomes for this module here we aim to guide you through developing draft course policy on ai use that you can include in your syllabi. after completing this module, you should be able to: reflect on the purpose(s) of an ai policy in your course syllabi. describe some options for ai policy syllabus statements. create an ai policy for your"
teachingcommons.stanford.edu_teaching-guides_artificial-intelligence-teaching-gu,17,"course syllabi. describe some options for ai policy syllabus statements. create an ai policy for your course that takes into consideration academic integrity, student success, and workload balance. thinking about your syllabus syllabus serves many purposes and can have multiple audiences depending on how and when it is used. lets focus on the syllabus as way to communicate to students the most important aspects and"
teachingcommons.stanford.edu_teaching-guides_artificial-intelligence-teaching-gu,18,"lets focus on the syllabus as way to communicate to students the most important aspects and learning goals of your course. before you begin to write your course policy on ai, consider the tone and voice of your syllabus, course policies already in place, and so on. we offer the prompt ""what is one complexity about your course that could be clarified or improved for"
teachingcommons.stanford.edu_teaching-guides_artificial-intelligence-teaching-gu,19,"the prompt ""what is one complexity about your course that could be clarified or improved for your students?"" that you can respond to in the poll below. explore example syllabi statements consider these example syllabi statements on ai use: classroom policies for ai generative tools created by lance eaton sample text for syllabi from the sentient syllabus project sample language from the ai guidance faqs"
teachingcommons.stanford.edu_teaching-guides_artificial-intelligence-teaching-gu,20,sample text for syllabi from the sentient syllabus project sample language from the ai guidance faqs web page from the harvard office of undergraduate education (at the end of the page) reflection prompt what important conversations do you want to have with your students about ai and learning in your course? what to include in your ai course policy statement an effective syllabus is designed
teachingcommons.stanford.edu_teaching-guides_artificial-intelligence-teaching-gu,21,"your course? what to include in your ai course policy statement an effective syllabus is designed to motivate learning, define learning goals, explain the structure of the course, offer support, and so on—which also applies to any statements about ai. many of the strategies for writing effective syllabi in general, such as using student-centered language, aiming for transparency and precision, providing examples, and using the"
teachingcommons.stanford.edu_teaching-guides_artificial-intelligence-teaching-gu,22,"general, such as using student-centered language, aiming for transparency and precision, providing examples, and using the syllabus as starting point for conversations with students, would apply here as well (gannon, 2023). remember that some students may not be aware of campus policies or have varying degrees of preparation for navigating such issues, so they would likely benefit from clear and comprehensive statement about ai use"
teachingcommons.stanford.edu_teaching-guides_artificial-intelligence-teaching-gu,23,"navigating such issues, so they would likely benefit from clear and comprehensive statement about ai use in your course. consider the following when developing your ai course policy: what is the policy and what tools does it apply to specifically? when does it apply? what conditions or contexts allow or preclude the use of ai? what processes and consequences result from non-compliance? what rationale and"
